--------- beginning of main
02-17 05:31:04.019 21581 21581 W grep    : type=1400 audit(0.0:47956): avc:  granted  { execute } for  path="/data/data/com.termux/files/usr/bin/grep" dev="dm-45" ino=780302 scontext=u:r:untrusted_app_27:s0:c206,c257,c512,c768 tcontext=u:object_r:app_data_file:s0:c206,c257,c512,c768 tclass=file app=com.termux
02-17 05:31:04.023 21581 21581 W grep    : type=1400 audit(0.0:47957): avc:  denied  { search } for  name="tests" dev="dm-45" ino=113 scontext=u:r:untrusted_app_27:s0:c206,c257,c512,c768 tcontext=u:object_r:shell_test_data_file:s0 tclass=dir permissive=0 app=com.termux
02-17 05:31:04.023 21581 21581 W grep    : type=1400 audit(0.0:47958): avc:  denied  { search } for  name="tests" dev="dm-45" ino=113 scontext=u:r:untrusted_app_27:s0:c206,c257,c512,c768 tcontext=u:object_r:shell_test_data_file:s0 tclass=dir permissive=0 app=com.termux
02-17 05:31:04.023 21581 21581 W grep    : type=1400 audit(0.0:47959): avc:  denied  { search } for  name="tests" dev="dm-45" ino=113 scontext=u:r:untrusted_app_27:s0:c206,c257,c512,c768 tcontext=u:object_r:shell_test_data_file:s0 tclass=dir permissive=0 app=com.termux
02-17 05:31:04.023 21581 21581 W grep    : type=1400 audit(0.0:47960): avc:  denied  { search } for  name="tests" dev="dm-45" ino=113 scontext=u:r:untrusted_app_27:s0:c206,c257,c512,c768 tcontext=u:object_r:shell_test_data_file:s0 tclass=dir permissive=0 app=com.termux
--------- beginning of kernel
02-17 05:31:04.054 21581 21581 W audit   : audit_lost=46437 audit_rate_limit=5 audit_backlog_limit=64
02-17 05:31:04.054 21581 21581 E audit   : rate limit exceeded
02-17 05:31:07.631  7746  7746 I ImeTracker: system_server:c28ceb5: onCancelled at PHASE_CLIENT_ON_CONTROLS_CHANGED
02-17 05:31:08.448  7746  7746 D VRI[TermuxActivity]: visibilityChanged oldVisibility=true newVisibility=false
02-17 05:31:08.477  7746  7746 D ImeBackDispatcher: Clear (mImeCallbacks.size=1)
02-17 05:31:08.477  7746  7746 D WindowOnBackDispatcher: setTopOnBackInvokedCallback (unwrapped): android.view.ViewRootImpl$$ExternalSyntheticLambda12@f8337b5
02-17 05:31:08.477  7746  7746 D ImeBackDispatcher: switch root view (mImeCallbacks.size=0)
02-17 05:31:13.191 21645 21645 W MainThread: type=1400 audit(0.0:47984): avc:  granted  { execute } for  name="bash" dev="dm-45" ino=103898 scontext=u:r:untrusted_app_27:s0:c206,c257,c512,c768 tcontext=u:object_r:app_data_file:s0:c206,c257,c512,c768 tclass=file app=com.termux
02-17 05:31:13.191 21645 21645 W MainThread: type=1400 audit(0.0:47985): avc:  granted  { execute } for  name="bash" dev="dm-45" ino=103898 scontext=u:r:untrusted_app_27:s0:c206,c257,c512,c768 tcontext=u:object_r:app_data_file:s0:c206,c257,c512,c768 tclass=file app=com.termux
02-17 05:31:13.191 21645 21645 W MainThread: type=1400 audit(0.0:47986): avc:  granted  { execute_no_trans } for  path="/data/data/com.termux/files/usr/bin/bash" dev="dm-45" ino=103898 scontext=u:r:untrusted_app_27:s0:c206,c257,c512,c768 tcontext=u:object_r:app_data_file:s0:c206,c257,c512,c768 tclass=file app=com.termux
